;tavg__ref;pptn__ref;petn__ref;diso__ref;ddho__ref
2010-11-01-00;7.649465;0.000000;0.03566;4.210;163.000
2010-11-01-01;6.724136;0.000000;0.03130;4.210;163.000
2010-11-01-02;6.004804;0.000000;0.02802;4.210;163.000
2010-11-01-03;5.880548;0.000000;0.02745;4.210;163.000
2010-11-01-04;5.305698;0.000000;0.02464;4.210;163.000
2010-11-01-05;4.899967;0.000000;0.02268;4.210;163.000
2010-11-01-06;4.836225;0.000000;0.02240;4.210;163.000
2010-11-01-07;4.883360;0.000000;0.02264;4.210;163.000
2010-11-01-08;6.138680;0.000000;0.02860;4.210;163.000
2010-11-01-09;7.931963;0.000000;0.03718;4.210;163.000
2010-11-01-10;9.849037;0.000000;0.04622;4.210;163.000
2010-11-01-11;11.530616;0.000000;0.05417;4.210;163.000
2010-11-01-12;12.920832;0.000000;0.06080;4.210;163.000
2010-11-01-13;13.929808;0.000000;0.06570;4.135;162.250
2010-11-01-14;13.969059;0.000000;0.06592;4.110;162.000
2010-11-01-15;13.100327;0.000000;0.06193;4.110;162.000
2010-11-01-16;11.092810;0.000000;0.05235;4.135;162.250
2010-11-01-17;10.009728;0.000000;0.04725;4.210;163.000
2010-11-01-18;9.208406;0.000000;0.04346;4.210;163.000
2010-11-01-19;8.082638;0.000000;0.03809;4.210;163.000
2010-11-01-20;7.196096;0.000000;0.03379;4.210;163.000
2010-11-01-21;6.504166;0.000000;0.03052;4.210;163.000
2010-11-01-22;6.008895;0.000000;0.02819;4.210;163.000
2010-11-01-23;5.865315;0.000000;0.02758;4.210;163.000
2010-11-02-00;5.834778;0.000000;0.02249;4.185;162.750
2010-11-02-01;5.456289;0.000000;0.02111;4.110;162.000
2010-11-02-02;4.746797;0.000000;0.01839;4.110;162.000
2010-11-02-03;4.194758;0.000000;0.01618;4.035;161.250
2010-11-02-04;3.676178;0.000000;0.01410;4.110;162.000
2010-11-02-05;3.461876;0.000000;0.01319;4.010;161.000
2010-11-02-06;3.698925;0.000000;0.01409;4.010;161.000
2010-11-02-07;4.186002;0.000000;0.01604;4.010;161.000
2010-11-02-08;4.896200;0.000000;0.01883;4.085;161.750
2010-11-02-09;5.381801;0.000000;0.02071;3.935;160.250
2010-11-02-10;5.846600;0.000000;0.02256;3.910;160.000
2010-11-02-11;6.305897;0.005339;0.02438;3.910;160.000
2010-11-02-12;6.657835;0.001376;0.02577;3.910;160.000
2010-11-02-13;6.880471;0.000000;0.02665;3.910;160.000
2010-11-02-14;7.088478;0.000000;0.02749;3.910;160.000
2010-11-02-15;6.958440;0.000000;0.02699;3.910;160.000
2010-11-02-16;6.803395;0.000000;0.02637;4.010;161.000
2010-11-02-17;6.609333;0.000000;0.02562;4.010;161.000
2010-11-02-18;6.664338;0.000000;0.02584;4.010;161.000
2010-11-02-19;6.865263;0.000000;0.02658;3.910;160.000
2010-11-02-20;6.856977;0.000000;0.02658;3.910;160.000
2010-11-02-21;6.739521;0.000000;0.02612;4.010;161.000
2010-11-02-22;6.589884;0.000000;0.02550;4.010;161.000
2010-11-02-23;6.741644;0.000000;0.02608;4.010;161.000
2010-11-03-00;6.740520;0.065412;0.01977;4.010;161.000
2010-11-03-01;6.810217;0.000000;0.01998;4.010;161.000
