

 for snw_dth following relative values [X] are outside the boundaries:
True (lower B.) index:0, X: -30.0%, value: 0.0
True (lower B.) index:1, X: -29.495798319327733%, value: 0.0
True (lower B.) index:2, X: -28.991596638655462%, value: 0.0
True (lower B.) index:3, X: -28.48739495798319%, value: 0.0
True (lower B.) index:4, X: -27.983193277310924%, value: 0.0
True (lower B.) index:5, X: -27.478991596638657%, value: 0.0
True (lower B.) index:6, X: -26.974789915966387%, value: 0.0
True (lower B.) index:7, X: -26.470588235294116%, value: 0.0
True (lower B.) index:8, X: -25.96638655462185%, value: 0.0
True (lower B.) index:9, X: -25.46218487394958%, value: 0.0
True (lower B.) index:10, X: -24.95798319327731%, value: 0.0
True (lower B.) index:11, X: -24.45378151260504%, value: 0.0
True (lower B.) index:12, X: -23.949579831932773%, value: 0.0
True (lower B.) index:13, X: -23.445378151260506%, value: 0.0
True (lower B.) index:14, X: -22.941176470588236%, value: 0.0
True (lower B.) index:15, X: -22.436974789915965%, value: 0.0
True (lower B.) index:16, X: -21.932773109243698%, value: 0.0
True (lower B.) index:17, X: -21.42857142857143%, value: 0.0
True (lower B.) index:18, X: -20.92436974789916%, value: 0.0
True (lower B.) index:19, X: -20.42016806722689%, value: 0.0
True (lower B.) index:20, X: -19.915966386554622%, value: 0.0
True (lower B.) index:21, X: -19.411764705882355%, value: 0.0
True (lower B.) index:22, X: -18.907563025210084%, value: 0.0
True (lower B.) index:23, X: -18.403361344537814%, value: 0.0
True (lower B.) index:24, X: -17.899159663865547%, value: 0.0
True (lower B.) index:25, X: -17.39495798319328%, value: 0.0
True (lower B.) index:26, X: -16.89075630252101%, value: 0.0
True (lower B.) index:27, X: -16.386554621848738%, value: 0.0
True (lower B.) index:28, X: -15.882352941176471%, value: 0.0
True (lower B.) index:29, X: -15.378151260504202%, value: 0.0
True (lower B.) index:30, X: -14.873949579831933%, value: 0.0
True (lower B.) index:31, X: -14.369747899159664%, value: 0.0
True (lower B.) index:32, X: -13.865546218487395%, value: 0.0
True (lower B.) index:33, X: -13.361344537815128%, value: 0.0
True (lower B.) index:34, X: -12.857142857142858%, value: 0.0
True (lower B.) index:35, X: -12.352941176470587%, value: 0.0
True (lower B.) index:36, X: -11.84873949579832%, value: 0.0
True (lower B.) index:37, X: -11.344537815126053%, value: 0.0
True (lower B.) index:38, X: -10.840336134453782%, value: 0.0
True (lower B.) index:39, X: -10.336134453781511%, value: 0.0
True (lower B.) index:40, X: -9.831932773109244%, value: 0.0
True (lower B.) index:41, X: -9.327731092436977%, value: 0.0
True (lower B.) index:42, X: -8.823529411764707%, value: 0.0
True (lower B.) index:43, X: -8.319327731092436%, value: 0.0
True (lower B.) index:44, X: -7.815126050420169%, value: 0.0
True (lower B.) index:45, X: -7.310924369747902%, value: 0.0
True (lower B.) index:46, X: -6.806722689075631%, value: 0.0
True (lower B.) index:47, X: -6.30252100840336%, value: 0.0
True (lower B.) index:48, X: -5.798319327731093%, value: 0.0
True (lower B.) index:49, X: -5.294117647058826%, value: 0.0
True (lower B.) index:50, X: -4.789915966386555%, value: 0.0
True (lower B.) index:51, X: -4.285714285714285%, value: 0.0
True (lower B.) index:52, X: -3.7815126050420176%, value: 0.0
True (lower B.) index:53, X: -3.2773109243697505%, value: 0.0
True (lower B.) index:54, X: -2.77310924369748%, value: 0.0
True (lower B.) index:55, X: -2.268907563025209%, value: 0.0
True (lower B.) index:56, X: -1.764705882352942%, value: 0.0
True (lower B.) index:57, X: -1.260504201680675%, value: 0.0
True (lower B.) index:58, X: -0.7563025210084042%, value: 0.0
True (lower B.) index:59, X: -0.25210084033613356%, value: 0.0
True (lower B.) index:60, X: 0.25210084033613356%, value: 0.0
True (lower B.) index:61, X: 0.7563025210084007%, value: 0.0
True (lower B.) index:62, X: 1.2605042016806713%, value: 0.0
True (lower B.) index:63, X: 1.764705882352942%, value: 0.0
True (lower B.) index:64, X: 2.268907563025209%, value: 0.0
True (lower B.) index:65, X: 2.7731092436974762%, value: 0.0
True (lower B.) index:66, X: 3.2773109243697434%, value: 0.0
True (lower B.) index:67, X: 3.7815126050420176%, value: 0.0
True (lower B.) index:68, X: 4.285714285714285%, value: 0.0
True (lower B.) index:69, X: 4.789915966386552%, value: 0.0
True (lower B.) index:70, X: 5.294117647058826%, value: 0.0
True (lower B.) index:71, X: 5.798319327731093%, value: 0.0
True (lower B.) index:72, X: 6.30252100840336%, value: 0.0
True (lower B.) index:73, X: 6.806722689075627%, value: 0.0
True (lower B.) index:74, X: 7.3109243697478945%, value: 0.0
True (lower B.) index:75, X: 7.815126050420169%, value: 0.0
True (lower B.) index:76, X: 8.319327731092436%, value: 0.0
True (lower B.) index:77, X: 8.823529411764703%, value: 0.0
True (lower B.) index:78, X: 9.327731092436977%, value: 0.0
True (lower B.) index:79, X: 9.831932773109244%, value: 0.0
True (lower B.) index:80, X: 10.336134453781511%, value: 0.0
True (lower B.) index:81, X: 10.840336134453779%, value: 0.0
True (lower B.) index:82, X: 11.344537815126046%, value: 0.0
True (lower B.) index:83, X: 11.84873949579832%, value: 0.0
True (lower B.) index:84, X: 12.352941176470587%, value: 0.0
True (lower B.) index:85, X: 12.857142857142854%, value: 0.0
True (lower B.) index:86, X: 13.361344537815128%, value: 0.0
True (lower B.) index:87, X: 13.865546218487395%, value: 0.0
True (lower B.) index:88, X: 14.369747899159663%, value: 0.0
True (lower B.) index:89, X: 14.87394957983193%, value: 0.0
True (lower B.) index:90, X: 15.378151260504197%, value: 0.0
True (lower B.) index:91, X: 15.882352941176471%, value: 0.0
True (lower B.) index:92, X: 16.386554621848738%, value: 0.0
True (lower B.) index:93, X: 16.890756302521005%, value: 0.0
True (lower B.) index:94, X: 17.39495798319328%, value: 0.0
True (lower B.) index:95, X: 17.899159663865547%, value: 0.0
True (lower B.) index:96, X: 18.403361344537814%, value: 0.0
True (lower B.) index:97, X: 18.90756302521008%, value: 0.0
True (lower B.) index:98, X: 19.411764705882348%, value: 0.0
True (lower B.) index:99, X: 19.915966386554622%, value: 0.0
True (lower B.) index:100, X: 20.42016806722689%, value: 0.0
True (lower B.) index:101, X: 20.924369747899156%, value: 0.0
True (lower B.) index:102, X: 21.42857142857143%, value: 0.0
True (lower B.) index:103, X: 21.932773109243698%, value: 0.0
True (lower B.) index:104, X: 22.436974789915965%, value: 0.0
True (lower B.) index:105, X: 22.941176470588232%, value: 0.0
True (lower B.) index:106, X: 23.4453781512605%, value: 0.0
True (lower B.) index:107, X: 23.949579831932773%, value: 0.0
True (lower B.) index:108, X: 24.45378151260504%, value: 0.0
True (lower B.) index:109, X: 24.957983193277308%, value: 0.0
True (lower B.) index:110, X: 25.46218487394958%, value: 0.0
True (lower B.) index:111, X: 25.96638655462185%, value: 0.0
True (lower B.) index:112, X: 26.470588235294116%, value: 0.0
True (lower B.) index:113, X: 26.974789915966383%, value: 0.0
True (lower B.) index:114, X: 27.47899159663865%, value: 0.0
True (lower B.) index:115, X: 27.983193277310924%, value: 0.0
True (lower B.) index:116, X: 28.48739495798319%, value: 0.0
True (lower B.) index:117, X: 28.99159663865546%, value: 0.0
True (lower B.) index:118, X: 29.495798319327733%, value: 0.0

 for snw_att following relative values [X] are outside the boundaries:

 for snw_pmf following relative values [X] are outside the boundaries:

 for snw_amf following relative values [X] are outside the boundaries:

 for sl0_dth following relative values [X] are outside the boundaries:
True (upper B.) index:598, X: 29.495798319327733%, value: 100.0

 for sl0_pwp following relative values [X] are outside the boundaries:

 for sl0_fcy following relative values [X] are outside the boundaries:
True (lower B.) index:720, X: -30.0%, value: 100.0
True (lower B.) index:721, X: -29.495798319327733%, value: 100.0
True (lower B.) index:722, X: -28.991596638655462%, value: 100.0
True (lower B.) index:723, X: -28.48739495798319%, value: 100.0
True (lower B.) index:724, X: -27.983193277310924%, value: 100.0
True (lower B.) index:725, X: -27.478991596638657%, value: 100.0
True (lower B.) index:726, X: -26.974789915966387%, value: 100.0
True (lower B.) index:727, X: -26.470588235294116%, value: 100.0
True (lower B.) index:728, X: -25.96638655462185%, value: 100.0
True (lower B.) index:729, X: -25.46218487394958%, value: 100.0
True (lower B.) index:730, X: -24.95798319327731%, value: 100.0
True (lower B.) index:731, X: -24.45378151260504%, value: 100.0
True (lower B.) index:732, X: -23.949579831932773%, value: 100.0
True (lower B.) index:733, X: -23.445378151260506%, value: 100.0

 for sl0_bt0 following relative values [X] are outside the boundaries:
True (upper B.) index:931, X: 15.882352941176471%, value: 10.0
True (upper B.) index:932, X: 16.386554621848738%, value: 10.0
True (upper B.) index:933, X: 16.890756302521005%, value: 10.0
True (upper B.) index:934, X: 17.39495798319328%, value: 10.0
True (upper B.) index:935, X: 17.899159663865547%, value: 10.0
True (upper B.) index:936, X: 18.403361344537814%, value: 10.0
True (upper B.) index:937, X: 18.90756302521008%, value: 10.0
True (upper B.) index:938, X: 19.411764705882348%, value: 10.0
True (upper B.) index:939, X: 19.915966386554622%, value: 10.0
True (upper B.) index:940, X: 20.42016806722689%, value: 10.0
True (upper B.) index:941, X: 20.924369747899156%, value: 10.0
True (upper B.) index:942, X: 21.42857142857143%, value: 10.0
True (upper B.) index:943, X: 21.932773109243698%, value: 10.0
True (upper B.) index:944, X: 22.436974789915965%, value: 10.0
True (upper B.) index:945, X: 22.941176470588232%, value: 10.0
True (upper B.) index:946, X: 23.4453781512605%, value: 10.0
True (upper B.) index:947, X: 23.949579831932773%, value: 10.0
True (upper B.) index:948, X: 24.45378151260504%, value: 10.0
True (upper B.) index:949, X: 24.957983193277308%, value: 10.0
True (upper B.) index:950, X: 25.46218487394958%, value: 10.0
True (upper B.) index:951, X: 25.96638655462185%, value: 10.0
True (upper B.) index:952, X: 26.470588235294116%, value: 10.0
True (upper B.) index:953, X: 26.974789915966383%, value: 10.0
True (upper B.) index:954, X: 27.47899159663865%, value: 10.0
True (upper B.) index:955, X: 27.983193277310924%, value: 10.0
True (upper B.) index:956, X: 28.48739495798319%, value: 10.0
True (upper B.) index:957, X: 28.99159663865546%, value: 10.0
True (upper B.) index:958, X: 29.495798319327733%, value: 10.0

 for urr_dth following relative values [X] are outside the boundaries:

 for lrr_dth following relative values [X] are outside the boundaries:

 for urr_wsr following relative values [X] are outside the boundaries:

 for urr_ulc following relative values [X] are outside the boundaries:

 for urr_tdh following relative values [X] are outside the boundaries:

 for urr_tdr following relative values [X] are outside the boundaries:

 for urr_ndr following relative values [X] are outside the boundaries:

 for urr_uct following relative values [X] are outside the boundaries:

 for lrr_dre following relative values [X] are outside the boundaries:

 for lrr_lct following relative values [X] are outside the boundaries:
