Parameter,S1,ST,Interaction
lrr_dre,0.7243151050671867,0.8056540587426541,0.0813389536754674
snw_att,0.10606189985795372,0.1426970242210836,0.03663512436312988
sl0_fcy,0.01904194710405048,0.04146206612978478,0.0224201190257343
sl0_dth,0.017536831270295126,0.03961289384567721,0.022076062575382086
sl0_bt0,-0.005715559668418682,0.017019555630582807,0.02273511529900149
snw_amf,0.0031341622638187496,0.0028362285656841186,-0.00029793369813463106
lrr_dth,0.0018283102052268911,0.0015667004510396389,-0.00026160975418725225
snw_pmf,0.0008141090501084121,0.001312366577397766,0.0004982575272893539
urr_ulc,0.0002611968106673822,0.00040563806148197234,0.00014444125081459016
urr_dth,0.0017729577110171479,0.00037956523158297513,-0.0013933924794341727
sl0_pwp,7.066247703394332e-05,0.00011377121917515671,4.310874214121339e-05
lrr_lct,4.2295458741913584e-05,5.919849494894423e-06,-3.637560924701916e-05
urr_wsr,3.6927136545723258e-06,1.1108031756064404e-06,-2.581910478965885e-06
urr_ndr,2.8085076206085216e-06,2.458242482548439e-08,-2.7839251957830372e-06
urr_uct,-1.0275247156320636e-08,3.7373592277821504e-10,1.0648983079098851e-08
urr_tdr,0.0,0.0,0.0
urr_tdh,0.0,0.0,0.0
