parameter,index,value,lower_bound,upper_bound
snw_dth,0,0.0,0.0,0.0
snw_att,1,0.9110408,-2.0,3.0
snw_pmf,2,0.7153876,0.0,3.0
snw_amf,3,0.17555203,0.0,10.0
sl0_dth,4,66.726715,0.0,100.0
sl0_pwp,5,665.01184,5.0,700.0
sl0_fcy,6,113.605995,100.0,700.0
sl0_bt0,7,3.3445253,0.01,10.0
urr_dth,8,5.551411,0.0,20.0
lrr_dth,9,3.6711688,0.0,100.0
urr_wsr,10,0.5781993,0.0,1.0
urr_ulc,11,0.7197888,0.0,1.0
urr_tdh,12,101.9409,0.0,200.0
urr_tdr,13,0.98327327,0.01,1.0
urr_ndr,14,0.005656771,0.0,1.0
urr_uct,15,0.065037504,0.0,1.0
lrr_dre,16,0.006622266,0.0,1.0
lrr_lct,17,0.0005442543,0.0,1.0
