Parameter,S1,ST,Interaction
lrr_dct,1.066122584560385,0.6235372875816275,-0.4425852969787575
lrr_dre,0.8722315435039805,0.5815377595660984,-0.29069378393788203
urr_ndr,0.5353876781143786,0.5591855612581011,0.023797883143722554
sl0_bt0,1.285997436270699,0.36570346641892176,-0.9202939698517771
snw_att,0.9398059833518324,0.3059779255167629,-0.6338280578350695
sl0_fcy,0.41428734068923373,0.25509610629764357,-0.15919123439159016
urr_ulc,0.38338375276063197,0.19603391102450324,-0.18734984173612873
urr_uct,0.8570358871862183,0.17709788827161352,-0.6799379989146047
lrr_dth,-0.138434751122017,0.003020467409988459,0.14145521853200546
sl0_dth,0.15819145281377328,0.0029661457741427394,-0.15522530703963056
urr_dth,-0.0445480705187507,0.0011755433091657692,0.04572361382791647
sl0_pwp,-0.0697812245876953,0.0006394639547008188,0.07042068854239612
snw_amf,0.02226621889421239,0.00010360073832253879,-0.02216261815588985
urr_wsr,-0.005422558717845549,1.536616458620698e-05,0.0054379248824317555
snw_pmf,-0.0011416176077733676,2.697293475164424e-07,0.001141887337120884
urr_tdh,0.0,0.0,0.0
urr_tdr,0.0,0.0,0.0
