Parameter,S1,ST,Interaction
lrr_dre,0.2337592063201371,0.5946779658491766,0.3609187595290395
lrr_dth,0.13704627554008703,0.4528371314107529,0.31579085587066585
urr_ndr,0.03990033415942645,0.26888134714911677,0.2289810129896903
urr_dth,0.03907287551019091,0.2606346661077762,0.2215617905975853
sl0_fcy,0.011970791158698216,0.12941590027634842,0.1174451091176502
sl0_bt0,0.004633853552046022,0.04654584226441629,0.04191198871237027
urr_ulc,0.0045104581795153515,0.024326513387064954,0.0198160552075496
lrr_dct,0.0013674209075847479,0.021107550288551852,0.019740129380967104
snw_att,0.0005327366091683446,0.020371617910969742,0.0198388813018014
sl0_dth,0.0011474675495712883,0.009863836448389337,0.008716368898818048
urr_tdh,0.0005279594868717568,0.009558273393476563,0.009030313906604807
urr_uct,-0.0002677931170485707,0.006226105012352968,0.006493898129401539
snw_amf,0.0006208442758513607,0.005632262002534731,0.00501141772668337
urr_tdr,0.0004793191905423061,0.004580590366811087,0.004101271176268781
snw_pmf,0.0005458564851966432,0.0009588553176392418,0.0004129988324425986
sl0_pwp,-0.0001401805678540221,0.00025029487072571877,0.0003904754385797409
urr_wsr,-0.00011768593949328895,0.00013501009918362436,0.0002526960386769133
