Parameter,S1,ST,Interaction
sl0_fcy,0.32043413111996444,0.49611348356761964,0.1756793524476552
snw_att,0.18429662854262915,0.3369997226099792,0.15270309406735003
lrr_dre,0.1108110859720263,0.21718351800252003,0.10637243203049374
snw_pmf,0.027599675062307268,0.15240425165178845,0.12480457658948119
sl0_dth,0.017681642192403833,0.11530370177046238,0.09762205957805856
snw_amf,0.0028249948922966705,0.015877987363152123,0.013052992470855451
sl0_bt0,0.0012506375460086003,0.008299499948774195,0.007048862402765595
urr_ulc,0.00015232138175734163,0.0027631769480402127,0.002610855566282871
sl0_pwp,2.1988850174575485e-05,0.00015648029514034895,0.00013449144496577347
urr_wsr,1.299337161573983e-05,3.32765317716979e-05,2.028316015595807e-05
lrr_dth,6.376328718629366e-07,7.969272330489476e-06,7.331639458626539e-06
urr_dth,2.8530651771541766e-07,2.8883783082085317e-06,2.603071790493114e-06
urr_uct,1.505386152829117e-07,5.239054105393078e-07,3.7336679525639606e-07
lrr_lct,4.1339839974411386e-08,2.766360294190765e-07,2.3529618944466513e-07
urr_ndr,1.3867407032885933e-08,1.605754031454106e-08,2.1901332816551254e-09
urr_tdh,0.0,0.0,0.0
urr_tdr,0.0,0.0,0.0
