Parameter,S1,ST,Interaction
lrr_dre,0.5095071314950065,0.5514244203525067,0.041917288857500234
sl0_fcy,0.20891803260236788,0.2953876793854319,0.08646964678306404
snw_att,0.1008500222704183,0.1554047695602394,0.05455474728982111
sl0_dth,0.0307454544263211,0.07785243503069142,0.047106980604370324
sl0_bt0,0.017089532448521162,0.050616152341635696,0.033526619893114534
snw_amf,0.0010442776962943203,0.002203237001331401,0.0011589593050370807
snw_pmf,1.1990856623291055e-05,0.001608311103610897,0.001596320246987606
lrr_dth,0.00014929932469303617,0.0003204581191451618,0.00017115879445212564
urr_ulc,0.00014540475114482862,0.00028569586315218203,0.00014029111200735341
urr_dth,5.6695127855293266e-05,0.0001266526287247357,6.995750086944243e-05
sl0_pwp,5.429426076092741e-05,9.568967788811523e-05,4.139541712718782e-05
lrr_lct,2.643566245354843e-07,4.761532251005071e-07,2.1179660056502284e-07
urr_wsr,7.762155136102337e-08,4.113229419676544e-07,3.33701390606631e-07
urr_uct,5.650979037006743e-08,8.599368703983253e-08,2.94838966697651e-08
urr_ndr,7.117765193467042e-10,3.275659629152445e-10,-3.8421055643145973e-10
urr_tdh,0.0,0.0,0.0
urr_tdr,0.0,0.0,0.0
