series_id,mean_abs_rel_change,ofv_reference_params,ofv_recalibrated,recalib_snw_dth,recalib_snw_att,recalib_snw_pmf,recalib_snw_amf,recalib_sl0_dth,recalib_sl0_pwp,recalib_sl0_fcy,recalib_sl0_bt0,recalib_urr_dth,recalib_lrr_dth,recalib_urr_wsr,recalib_urr_ulc,recalib_urr_tdh,recalib_urr_tdr,recalib_urr_ndr,recalib_urr_uct,recalib_lrr_dre,recalib_lrr_lct
0,0.06714595,0.0951661467552185,0.09476089477539062,0.0,-0.0073906505,0.5434908,0.035782564,99.828674,698.3933,162.92918,3.016638,1.4049851,1.1614093,0.99949455,0.18040246,151.18248,0.45453593,1.2148472e-07,2.388337e-06,0.009037157,3.3112038e-08
1,0.06512991,0.09180577099323273,0.09175144881010056,0.0,-0.006028515,0.5301497,0.044550817,99.96888,697.468,163.96579,2.9342668,1.5808231,0.95231766,0.9995908,0.17911658,102.46898,0.65594035,1.0305242e-06,1.0861604e-06,0.009168823,2.3213731e-08
2,0.064716965,0.09134645015001297,0.09042142331600189,0.0,-0.005867595,0.48129696,0.05315641,99.95961,43.069683,158.40337,2.9818857,1.9732822,0.569951,0.99965334,0.17983581,56.937023,0.45782873,3.0339476e-07,2.3826718e-07,0.009447493,8.906776e-09
3,0.070141256,0.09230414777994156,0.08628924936056137,0.0,-0.0058513368,0.48648062,0.0435283,88.2629,488.45413,148.83788,2.4846556,2.9514275,0.02118738,0.99879754,0.006550665,36.98126,0.010048676,0.0005311588,1.5282836e-06,0.15201777,0.0005993705
4,0.06512893,0.09092596918344498,0.09086227416992188,0.0,-0.0057844035,0.5259469,0.045873556,99.960304,574.5063,165.95853,2.9276025,1.9569027,0.6646106,0.99994564,0.17564815,105.71866,0.81005096,3.7890064e-07,2.8984243e-07,0.009190622,5.9620944e-09
5,0.065458104,0.09201662987470627,0.0919588953256607,0.0,-0.0065291547,0.53734607,0.043690994,99.98931,696.0304,163.90187,2.9896522,1.7385958,0.83929557,0.99978215,0.17582527,92.36533,0.74899477,4.314741e-07,1.0558433e-06,0.009096492,7.178229e-10
6,0.065180674,0.0935831218957901,0.09336947649717331,0.0,-0.0055053667,0.5529588,0.041843932,99.88192,697.2487,164.96074,2.9959378,2.041808,0.5607721,0.9998443,0.17576079,23.82049,0.6839749,4.0662226e-08,4.3972986e-07,0.009116159,6.389792e-09
7,0.066564366,0.09303171932697296,0.09294340014457703,0.0,-0.006008868,0.53188705,0.045582376,99.9191,678.5921,163.58105,2.9313192,1.6035925,0.94428027,0.99972874,0.17729342,139.88773,0.33820352,5.605727e-07,3.667485e-07,0.009131879,5.4845078e-08
8,0.06455704,0.09504502266645432,0.09498360753059387,0.0,-0.0058406135,0.52832866,0.04419299,99.75472,686.85645,165.22586,2.9154332,1.5170145,1.1539022,0.9996959,0.17640588,176.67783,0.22868611,1.4770073e-06,7.375114e-07,0.009094803,3.8020495e-08
9,0.067911975,0.09014817327260971,0.08950300514698029,0.0,-0.0064325677,0.5762221,0.038793627,99.86814,699.9991,164.77657,2.9788592,1.4804605,1.0450803,0.9998659,0.17226416,151.55733,0.24454094,3.753219e-07,2.2561724e-06,0.009148288,1.7605164e-08
10,0.06651829,0.09230709820985794,0.09209335595369339,0.0,-0.0055064783,0.5135897,0.046520263,99.99863,382.8097,164.56526,2.9911761,1.7141207,0.81674623,0.99994427,0.17809159,165.72252,0.51156914,1.605675e-08,2.9341348e-07,0.009297238,6.0960685e-09
