series_id,mean_abs_rel_change,ofv_reference_params,ofv_recalibrated,recalib_snw_dth,recalib_snw_att,recalib_snw_pmf,recalib_snw_amf,recalib_sl0_dth,recalib_sl0_pwp,recalib_sl0_fcy,recalib_sl0_bt0,recalib_urr_dth,recalib_lrr_dth,recalib_urr_wsr,recalib_urr_ulc,recalib_urr_tdh,recalib_urr_tdr,recalib_urr_ndr,recalib_urr_uct,recalib_lrr_dre,recalib_lrr_lct
0,0.15609647,0.25905030965805054,0.25764110684394836,0.0,0.6723593,1.0219332,0.059943177,99.25257,698.5961,153.0045,3.0202198,1.7375687,1.9033942,0.9988997,0.21121888,172.36594,0.48677203,2.7804916e-07,1.4214419e-06,0.006842251,5.2771384e-07
1,0.15414453,0.24872034788131714,0.21316996216773987,0.0,-0.0074583143,0.35977012,0.018109025,97.315796,106.58339,136.57828,4.351864,2.8872995,0.27957729,0.9995029,0.1215266,148.17268,0.31371388,2.64797e-06,0.010219235,0.010836407,1.0897684e-05
2,0.15977597,0.2561003565788269,0.24337945878505707,0.0,-0.007511654,0.40263036,0.017340338,97.55075,118.15637,143.59111,3.669769,2.1281586,0.8097572,0.99995965,0.113919586,38.75669,0.25172922,9.8542605e-09,0.00522816,0.011137959,0.00010133478
3,0.15379493,0.23520146310329437,0.23260487616062164,0.0,-0.00744405,0.46128148,0.017061435,45.638973,73.05501,100.19509,1.7215983,1.9583213,0.84587604,0.9991247,0.16898523,146.89738,0.70045066,1.5331229e-06,0.003842525,0.010114392,3.0546238e-05
4,0.15455543,0.2428005337715149,0.2311972826719284,0.0,-0.00710586,0.40745267,0.016545368,71.46228,62.016373,113.89648,3.1395135,2.5927422,0.1930652,0.9997817,0.13949217,137.95888,0.6428201,1.6343877e-06,0.0048101936,0.011053441,0.0003187806
5,0.15229271,0.22922296822071075,0.22702640295028687,0.0,0.08546503,0.5744528,0.031931594,99.91601,699.0666,160.31522,3.129366,2.3100529,0.94108254,0.9999485,0.20245454,197.42401,0.36392894,5.332893e-07,3.3034001e-07,0.008862349,9.580628e-08
6,0.15521662,0.25382232666015625,0.21748870611190796,0.0,-0.010274464,0.010828458,0.09060736,99.946434,35.55022,135.02548,5.6170244,2.3757443,0.39768204,0.9996208,0.1402545,68.491974,0.033488404,7.694073e-08,0.0152076725,0.013488378,0.00022636827
7,0.1559689,0.2417234182357788,0.22845859825611115,0.0,-0.007506968,0.42628375,0.017100142,99.74749,18.149067,147.9819,3.4944358,2.0964386,0.67175573,0.9999949,0.15035705,78.37792,0.33735827,1.9625462e-08,0.002638595,0.010802828,9.6427444e-05
8,0.15324943,0.23553986847400665,0.2329636961221695,0.0,-0.006205056,0.4776529,0.04796065,99.83953,348.0451,162.86311,2.9053614,2.201853,1.0733644,0.99983305,0.20167287,133.9604,0.9405717,2.1616552e-06,4.2492397e-06,0.00881308,5.7335463e-08
9,0.15715425,0.2573409676551819,0.2341809868812561,0.0,-0.007488733,0.3928807,0.017450456,99.5978,90.61874,142.14726,4.012804,2.0654156,0.76471496,0.9999477,0.12412379,42.863457,0.2724029,2.7954587e-07,0.0075607374,0.011949512,7.68689e-05
10,0.15661274,0.25143131613731384,0.22627602517604828,0.0,-0.009100764,0.05811209,0.08616667,98.04045,30.585098,134.82727,5.148246,2.5392933,0.3103321,0.9994966,0.13836105,13.751755,0.06531067,3.3455603e-06,0.004980096,0.012707664,0.0009384316
11,0.15576193,0.23845279216766357,0.241404190659523,0.0,0.6719159,0.9671539,0.07074921,98.796745,699.64056,155.04265,3.012564,2.8579724,0.8133983,0.99977386,0.1818229,66.74084,0.37613523,3.3085908e-07,2.3204334e-06,0.0073417933,1.8161637e-07
12,0.15282288,0.24666829407215118,0.23214225471019745,0.0,-0.007491352,0.42388222,0.0174808,93.53005,239.10222,145.1829,3.1461344,1.8888526,1.0687538,0.999678,0.16994378,146.61983,0.70983154,1.427137e-07,0.0004223116,0.009486827,0.0005499946
13,0.15484153,0.23048585653305054,0.22928950190544128,0.0,0.08933939,0.5981785,0.035374135,99.78839,692.05444,158.9099,3.2077458,2.2379453,1.2248385,0.9993129,0.18159457,13.184817,0.012004973,9.94257e-07,8.6082724e-07,0.008783591,1.3628609e-07
14,0.15804616,0.2570660412311554,0.2438928186893463,0.0,-0.0070280465,0.41137236,0.01737067,94.91382,168.19646,141.93735,3.4523485,2.3283799,0.77217835,0.999822,0.11749307,17.21895,0.27661377,1.2210613e-06,0.007065796,0.010535481,7.3219606e-05
15,0.15370657,0.24653714895248413,0.23568667471408844,0.0,-0.007471274,0.4399267,0.01723925,64.11926,84.470604,116.38717,2.2544405,1.9952288,0.89830637,0.9998287,0.14467855,68.53714,0.7787883,9.987815e-07,0.0032430908,0.010264543,2.3545148e-05
16,0.15419494,0.22863109409809113,0.21966013312339783,0.0,-0.0073537664,0.43322766,0.01936229,90.88141,111.137085,141.21054,3.1146214,2.1266248,0.65524936,0.99970865,0.16306043,71.81253,0.03323461,6.6178046e-07,0.0023177036,0.01044189,0.000117821
17,0.16016874,0.2536433935165405,0.23348312079906464,0.0,-0.0073638693,0.39760917,0.018764902,99.31151,117.25994,141.37366,3.9099922,1.9426802,1.218614,0.9997148,0.1356217,169.9524,0.38366336,5.846951e-07,0.002175055,0.009857443,0.00048065465
18,0.15580204,0.2352650761604309,0.22115449607372284,0.0,-0.007495742,0.40116954,0.017126044,99.996086,120.85981,144.55237,3.8409228,2.002702,0.9837206,0.999954,0.12684427,24.30575,0.5888706,4.004812e-07,0.007870922,0.01115822,7.788834e-05
19,0.15518142,0.23088201880455017,0.21799537539482117,0.0,-0.006955632,0.4272318,0.020072754,94.00224,54.20853,145.57129,3.1005027,1.9298011,0.7605161,0.99993855,0.14207831,142.88707,0.86734873,8.52397e-08,0.0011621088,0.011081581,4.6660145e-05
20,0.1580047,0.2413250356912613,0.22500145435333252,0.0,-0.0073069395,0.40804073,0.018037856,99.45669,111.65086,145.32336,3.6690073,2.15546,0.89116526,0.9995796,0.12781896,92.111336,0.967605,2.1698305e-07,0.0015748776,0.010456844,0.0003092971
